,lemma,pos,absolute_freq_tar,freq_book3,freq_book4,freq_book5,freq_book6,absolute_freq_ref,deltapi,relative_freq_tar,relative_freq_ref,p_value_fisher
0,ab,PRE,1138,268,258,239,373,2297,0.02220431588241445,2.850487187836585,0.6300555995951406,< 0.05
1,oppidum,NOMcom,558,122,119,162,155,81,0.01375472659860288,1.3976905543170604,0.02221789445677248,< 0.05
2,qui1,PROrel,865,191,163,213,298,6049,0.005074604269373312,2.1666708413696365,1.6592104144323054,< 0.05
3,mare,NOMcom,243,60,46,53,84,386,0.005027938255977562,0.6086716930090423,0.10587786741128614,< 0.05
4,amnis,NOMcom,210,64,45,45,56,117,0.004939200599900073,0.5260125742053453,0.03209251421533803,< 0.05
5,mons,NOMcom,214,30,45,58,81,184,0.0048556158256706445,0.5360318613330661,0.050470278766001686,< 0.05
6,flumen,NOMcom,194,51,24,48,71,82,0.0046344323624439585,0.4859354256944618,0.02249218945006597,< 0.05
7,pes,NOMcom,224,47,37,45,95,417,0.004466990669489841,0.5610800791523683,0.11438101220338426,< 0.05
8,gens,NOMcom,175,15,29,31,100,217,0.00378821798293101,0.43834381183778776,0.05952201354468677,< 0.05
9,promontorium,NOMcom,152,33,47,42,30,16,0.00376344190960697,0.3807329108533928,0.0043887198926957985,< 0.05
10,insula,NOMcom,163,22,33,28,80,178,0.003594614416483844,0.4082859504546251,0.04882450880624076,< 0.05
11,sinus,NOMcom,148,25,57,32,34,59,0.0035453021912135617,0.3707136237256719,0.016183404604315756,< 0.05
12,ad2,PRE,378,53,70,82,173,2183,0.0034803666320993853,0.9468226335696215,0.598785970359683,< 0.05
13,appello1,VER,201,42,59,59,41,682,0.003163999927418149,0.5034691781679733,0.1870691854261584,< 0.05
14,deinde,ADV,149,26,29,44,50,288,0.002942214874390778,0.37321844550760214,0.07899695806852437,< 0.05
15,colonia,NOMcom,108,60,20,25,3,4,0.0026942357247528937,0.2705207524484633,0.0010971799731739496,< 0.05
16,nomen,NOMcom,158,30,35,46,47,515,0.0025449991999882808,0.3957618415449741,0.14126192154614603,< 0.05
17,dico2,VER,243,56,57,55,75,1334,0.0024276217195553017,0.6086716930090423,0.3659095210535122,< 0.05
18,regio,NOMcom,100,32,15,24,29,77,0.0022936146370942305,0.2504821781930216,0.02112071448359853,< 0.05
19,inde,ADV,109,18,18,29,44,161,0.00228864080310142,0.2730255742303935,0.044161493920251475,< 0.05
20,portus,NOMcom,89,27,24,14,24,32,0.0021415169880639757,0.22292913859178917,0.008777439785391597,< 0.05
21,ibi,ADV,97,14,21,25,37,216,0.0018371999429583762,0.2429677128472309,0.059247718551393276,< 0.05
22,latitudo,NOMcom,76,18,23,12,23,67,0.0017198869087603273,0.1903664554266964,0.01837776455066366,< 0.05
23,absum1,VER,74,13,21,18,22,49,0.0017191635719145508,0.18535681186283595,0.013440454671380882,< 0.05
24,litus,NOMcom,76,15,18,18,25,77,0.0016924574094309786,0.1903664554266964,0.02112071448359853,< 0.05
25,longitudo,NOMcom,77,13,28,13,23,94,0.0016708754783903877,0.1928712772086266,0.025783729369587817,< 0.05
26,quondam,ADV,70,18,16,26,10,32,0.001665600849497235,0.1753375247351151,0.008777439785391597,< 0.05
27,urbs,NOMcom,85,25,15,23,22,194,0.0015969662276513175,0.21290985146406832,0.053213228698936556,< 0.05
28,mox,ADV,86,18,20,24,24,210,0.001578127246543662,0.21541467324599856,0.057601948591632354,< 0.05
29,nunc,ADV,90,24,14,30,22,276,0.0014972854222471688,0.2254339603737194,0.07570541814900252,< 0.05
30,cognomino,VER,63,25,17,12,9,51,0.0014381472760363573,0.15780377226160358,0.013989044657967858,< 0.05
31,ora,NOMcom,57,20,10,13,14,6,0.0014112907161026136,0.1427748415700223,0.0016457699597609246,< 0.05
32,ostium,NOMcom,57,13,20,10,14,7,0.0014085477661696787,0.1427748415700223,0.0019200649530544118,< 0.05
33,fluuius,NOMcom,58,29,5,12,12,18,0.0014034235347266974,0.14527966335195253,0.004937309879282773,< 0.05
34,os1,NOMcom,85,18,25,21,21,271,0.0013857590828153324,0.21290985146406832,0.07433394318253508,< 0.05
35,inter,PRE,120,23,33,28,36,616,0.0013161289796283764,0.3005786138316259,0.16896571586878825,< 0.05
36,prodo,VER,70,8,15,12,35,169,0.0012898167086851573,0.1753375247351151,0.04635585386659937,< 0.05
37,lacus,NOMcom,59,14,12,15,18,70,0.001285838356033386,0.14778448513388273,0.01920064953054412,< 0.05
38,circuitus,NOMcom,53,11,23,11,8,16,0.0012836683454960562,0.13275555444230142,0.0043887198926957985,< 0.05
39,duo,ADJcar,97,21,22,28,26,421,0.001274895206706727,0.2429677128472309,0.11547819217655819,< 0.05
40,per,PRE,128,26,20,21,61,705,0.0012723921781515898,0.32061718808706763,0.19337797027190864,< 0.05
41,orior,VER,58,14,9,14,21,72,0.0012553042383482143,0.14527966335195253,0.019749239517131093,< 0.05
42,ciuitas,NOMcom,53,19,11,20,3,28,0.0012507529463008378,0.13275555444230142,0.007680259812217647,< 0.05
43,usque,ADV,64,8,12,13,31,130,0.0012465024491538045,0.16030859404353381,0.03565834912815336,< 0.05
44,condo,VER,69,18,2,19,30,203,0.0011715081931460694,0.17283270295318487,0.05568188363857795,< 0.05
45,intus1,ADV,63,19,12,26,6,155,0.0011528804830111304,0.15780377226160358,0.042515723960490547,< 0.05
46,cognomen,NOMcom,51,32,8,8,3,63,0.001104653263009513,0.127745910878441,0.017280584577489707,< 0.05
47,ubi1,ADVrel,54,10,9,19,16,92,0.0011002523684123082,0.13526037622423165,0.025235139383000843,< 0.05
48,finis,NOMcom,48,17,4,14,13,46,0.0010761387584114993,0.12023144553265036,0.012617569691500422,< 0.05
49,passus1,NOMcom,50,6,28,10,6,69,0.0010631473455926016,0.1252410890965108,0.01892635453725063,< 0.05
50,iungo,VER,49,10,6,17,16,61,0.0010600427272367784,0.12273626731458057,0.016731994590902733,< 0.05
51,50,ADJcar,45,6,14,7,18,25,0.0010585960535452253,0.1127169801868597,0.006857374832337185,< 0.05
52,antea,ADV,44,9,21,11,3,29,0.0010225760359941836,0.1102121584049295,0.007954554805511136,< 0.05
53,fons,NOMcom,52,10,13,17,12,112,0.0009952969341150064,0.1302507326603712,0.03072103924887059,< 0.05
54,500,ADJcar,42,0,14,14,14,24,0.0009861943500202536,0.10520251484106904,0.006583079839043699,< 0.05
55,15,ADJcar,45,6,15,12,12,55,0.000976307555557179,0.1127169801868597,0.015086224631141808,< 0.05
56,liber2,ADJqua,39,1,15,20,3,3,0.0009686516451539795,0.09768804949527841,0.0008228849798804623,< 0.05
57,rex,NOMcom,72,6,9,12,45,309,0.0009559001537128792,0.18034716829897554,0.08475715292768761,< 0.05
58,Europa,NOMpro,40,9,20,3,8,19,0.0009498126640463235,0.10019287127720862,0.005211604872576261,< 0.05
59,populus1,NOMcom,55,23,7,6,19,157,0.0009470088405908433,0.13776519800616185,0.04306431394707752,< 0.05
60,ultra2,PRE,41,4,6,12,19,34,0.0009337166328716027,0.10269769305913884,0.009326029771978573,< 0.05
61,stadium,NOMcom,40,6,6,12,16,33,0.0009114113649852353,0.10019287127720862,0.009051734778685084,< 0.05
62,pateo,VER,38,11,15,3,9,21,0.0008942303285418496,0.0951832277133482,0.005760194859163235,< 0.05
63,clarus,ADJqua,46,6,13,10,17,96,0.0008888948261261513,0.11522180196878994,0.026332319356174794,< 0.05
64,iuxta2,PRE,46,12,7,12,15,101,0.000875180076461477,0.11522180196878994,0.027703794322642233,< 0.05
65,unde1,ADVrel,48,9,11,13,15,122,0.000867674563508449,0.12023144553265036,0.033463989181805466,< 0.05
66,latus1,NOMcom,49,12,9,12,16,135,0.0008570644321995977,0.12273626731458057,0.0370298240946208,< 0.05
67,Asia,NOMpro,43,2,13,14,14,83,0.0008494085217963981,0.10770733662299928,0.022766484443359457,< 0.05
68,pars,NOMcom,111,19,21,23,48,707,0.0008410865753575834,0.27803521779425394,0.1939265602584956,< 0.05
69,oceanus1,NOMcom,40,10,11,6,13,60,0.0008373517167959937,0.10019287127720862,0.016457699597609246,< 0.05
70,Alexander,NOMpro,44,3,1,8,32,99,0.0008305695406887424,0.1102121584049295,0.027155204336055255,< 0.05
71,meridies,NOMcom,38,5,6,8,19,48,0.000820170680352608,0.0951832277133482,0.013166159678087397,< 0.05
72,Africa,NOMpro,47,8,1,25,13,133,0.0008124538964268632,0.11772662375072014,0.036481234108033826,< 0.05
73,uoco,VER,175,30,33,55,57,1302,0.0008121173056966718,0.43834381183778776,0.35713208126812057,< 0.05
74,septentrio,NOMcom,39,4,9,6,20,62,0.000806817599110822,0.09768804949527841,0.01700628958419622,< 0.05
75,tractus,NOMcom,36,5,4,10,17,37,0.0008002466939762874,0.09017358414948777,0.010148914751859034,< 0.05
76,12,ADJcar,39,9,4,11,15,70,0.0007848739996473429,0.09768804949527841,0.01920064953054412,< 0.05
77,Euphrates,NOMpro,32,0,0,10,22,12,0.0007686275710224506,0.08015429702176691,0.0032915399195218493,< 0.05
78,propior,ADJqua,56,10,8,19,19,235,0.0007581069636412254,0.1402700197880921,0.06445932342396954,< 0.05
79,locus,NOMcom,82,17,20,18,27,480,0.0007373378933740373,0.20539538611827768,0.13166159678087397,< 0.05
80,Agrippa,NOMpro,32,8,11,4,9,25,0.0007329692218942972,0.08015429702176691,0.006857374832337185,< 0.05
81,iugum,NOMcom,35,7,8,4,16,54,0.0007285683272970923,0.08766876236755755,0.014811929637848319,< 0.05
82,disto,VER,37,6,4,13,14,78,0.0007128339645452596,0.09267840593141798,0.02139500947689202,< 0.05
83,Tigris,NOMpro,29,0,0,3,26,5,0.0007126835670950882,0.07263983167597626,0.001371474966467437,< 0.05
84,Armenia,NOMpro,30,0,1,7,22,16,0.0007075593356521068,0.07514465345790647,0.0043887198926957985,< 0.05
85,ager,NOMcom,45,28,4,5,8,155,0.0007020125622636916,0.1127169801868597,0.042515723960490547,< 0.05
86,spatium,NOMcom,37,4,6,12,15,83,0.0006991192148805852,0.09267840593141798,0.022766484443359457,< 0.05
87,iter,NOMcom,32,3,0,11,18,38,0.0006973108727661438,0.08015429702176691,0.010423209745152522,< 0.05
88,25,ADJcar,30,6,9,4,11,23,0.0006883586861215626,0.07514465345790647,0.006308784845750211,< 0.05
89,nobilis2,ADJqua,37,13,10,9,5,88,0.0006854044652159109,0.09267840593141798,0.02413795940982689,< 0.05
